SPEAKER_01	???
MSG_MMD_CTY_03	Quand il nous a attaqués, le vampire a détruit l'église et laissé toute la ville en ruine.<P>\nN'y a-t-il donc rien que nous puissions faire pour l'arrêter ?
MSG_MMD_CTY_04	Ne seriez-vous pas les fameux Guerriers de la Lumière ?
MSG_MMD_CTY_05	Restaurez l'éclat des Cristaux...
MSG_MMD_CTY_06	Le vampire est mort et pourtant la terre se détériore toujours. Quel est donc ce maléfice ?
MSG_MMD_CTY_07	La Caverne Terra se situe au sud de Melmond, sur une péninsule appelée la Pointe du diable.<P>\nAvant, les environs de cette grotte étaient florissants. Aujourd'hui, toute la zone est complètement desséchée...
MSG_MMD_CTY_08	Le Cristal de la Terre doit avoir retrouvé son éclat !
MSG_MMD_CTY_09	Le géant qui vit dans la grotte se nourrit de cailloux.<P>\nIl aime toutes les pierres, mais a un goût particulièrement prononcé pour les gemmes. C'est simple, il en raffole !
MSG_MMD_CTY_10	Je l'affirme bien haut : moi, le docteur Unne, je sais tout !<P>\nComment ?! Vous n'avez jamais entendu parler de moi ?! C'est impossible !
MSG_MMD_CTY_12	Autrefois, une civilisation prospère vivait sur le continent du nord.<P>\nAujourd'hui, il n'en reste que des ruines.
MSG_MMD_CTY_14	Eh bien, vous n'avez pas la même allure que la dernière fois !
MSG_MMD_CTY_15	J'ai entendu dire que nos ancêtres possédaient un objet capable de faire flotter un bateau dans les airs.
MSG_MMD_CTY_16	Un Vaisseau ! Alors il en existe bel et bien un !
MSG_MMD_CTY_17	Je m'appelle Watts.<P>\nJe suis venu de Duergar tout bonnement pour essayer de comprendre ce qui arrive à la terre.
MSG_MMD_CTY_18	Guerriers de la Lumière... Grâce à vous, la terre est tout bonnement en train de retrouver ses forces !
MSG_MMD_CTY_19	Un certain Sadda vit dans la grotte qui se trouve au sud de ce continent. C'est un très grand sage.
MSG_MMD_CTY_20	Je ne suis qu'un fermier.
MSG_MMD_CTY_21	Le vampire est mort et pourtant la terre se détériore toujours. Quel est donc ce maléfice ?<P>\nY aurait-il autre chose à l'origine du problème ?
MSG_MMD_CTY_22	Vous devriez faire un saut au magasin de mon père, vous savez !
MSG_MMD_CTY_23	Si le Cristal de la Terre retrouve son éclat, les montagnes et les vallées pourront enfin reprendre vie.
MSG_MMD_CTY_24	Guerriers de la Lumière... Notre dette envers vous est grande. La terre est en train de revenir à la vie !
MSG_MMD_CTY_25	C'est une tombe.
MSG_MMD_CTY_26	Restaurez l'éclat des Cristaux...
MSG_MAP01_01	Vous obtenez un Rubis étoilé !
MSG_LICH_01	Qui ose me parler ?
MSG_LICH_02	Je suis celui qui se nourrit des forces de la terre.
MSG_LICH_03	Jamais je ne laisserai de simples mortels se mettre sur mon chemin !<P>\nJe suis la liche, le Démon de la Terre !
MSG_VAMPIRE_01	Tout dans ce monde tend vers sa propre destruction...<P>\nNul ne brisera le sceau. Ainsi la terre pourrira définitivement.
MSG_VAMPIRE_02	Il est impossible de changer le cours du destin.<P>\nEt malheureusement pour vous, les humains sont impuissants contre les morts-vivants... Ha ha ha !
MSG_ERH_CAV_01	Kii ! Kii !
MSG_ERH_CAV_02	Une dalle de pierre est incrustée dans le sol. Une force maléfique semble s'en dégager.
MSG_ERH_CAV_03	Ceci est le Palais de la Terre, la source intarissable des forces telluriques.
MSG_GIANT_RUBYEAT_01	Vous avez Rubis étoilé ?!<P>\nDonnez-moi et je laisse passer !
MSG_GIANT_RUBYEAT_02	Miam ! Miam !<P>\nMmmh ! Rubis délicieux !!
MSG_GIA_CAV_01	Vous ne pas passer !
MSG_SAG_CAV_01	Restaurez l'éclat des Cristaux...
MSG_GET_STICK_01	C'est vous qui avez vaincu le vampire ?<P>\nCe n'était qu'un sbire... Le vrai Démon qui infecte le Cristal de la Terre se tapit au fond de la caverne.<P>\nTenez, prenez ce bâton et utilisez-le derrière la chambre du vampire !
MSG_GET_STICK_02	Vous obtenez le Bâton tellurique !
MSG_GET_CANOE_01	Bravo, Guerriers de la Lumière. Vous avez vaincu le Démon de la Terre et restauré l'éclat du Cristal.<P>\nMalheureusement, votre exploit a tiré le Démon du Feu d'un sommeil qui aurait dû durer encore deux cents ans.<P>\nPrenez ce Canoë et allez affronter le Démon au Mont Gulg !
MSG_GET_CANOE_02	Vous obtenez un Canoë !
MSG_CLK_CTY_01	Mon mari est tout le temps en voyage, et les rares fois où il est là... il dort !<P>\nJe crois qu'il a besoin de réfléchir à ses priorités.
MSG_CLK_CTY_02	Zzz...
MSG_CLK_CTY_03	Je cherche l'Aérolithe depuis plus de dix ans...<P>\nJe crois qu'il est dans la grotte située au nord d'ici, mais si j'y vais, ma femme va encore se plaindre.
MSG_CLK_CTY_04	Nous sommes les douze sages, guidés jusqu'à ces terres par la grande prophétie.
MSG_CLK_CTY_05	Notre monde abrite quatre Cristaux. L'éclat qui les animait autrefois s'est aujourd'hui éteint.<P>\nLes quatre Démons du chaos se les sont appropriés, les empêchant ainsi de continuer à briller.
MSG_CLK_CTY_06	Les quatre forces semblent converger vers le Temple du chaos, leur centre géographique.<P>\nMaintenant que les forces sont libérées, il est temps d'aller purger la source du Mal, le Temple du chaos.
MSG_CLK_CTY_07	Le Feu, la Terre, l'Eau et le Vent... Ce sont les quatre forces qui gouvernent notre monde.
MSG_CLK_CTY_08	Les quatre Cristaux brillent à nouveau !<P>\nEn réunissant leurs éclats, il est possible d'ouvrir les Portes du Temps.<P>\nL'auteur de tous les maux qui nous ont frappés s'est réfugié au-delà de ces portes, deux mille ans dans le passé !
MSG_CLK_CTY_09	Les quatre forces prennent leur source dans quatre palais.<P>\nVous devez éliminer les Démons qui gardent ces lieux sacrés.<P>\nC'est la seule façon de rendre aux Cristaux leur éclat !
MSG_CLK_CTY_10	Vous ne pouvez pas vous en souvenir, mais avant votre arrivée ici, le temps s'écoulait normalement.<P>\nSi le flot temporel s'est distendu, c'est pour permettre votre venue.
MSG_CLK_CTY_11	Les quatre Démons veulent régner sur le passé et sur le présent.<P>\nLe Démon du Vent est apparu il y a quatre cents ans, suivi deux cents ans plus tard par le Démon de l'Eau.<P>\nEnsemble, ils se sont attaqués à la civilisation du nord.
MSG_CLK_CTY_12	Le flot du temps s'est enroulé sur lui-même...<P>\nVous devez retourner dans le passé, jusqu'au point où les deux extrémités se sont rejointes, et briser le lien !
MSG_CLK_CTY_13	Le Démon de la Terre empoisonne nos contrées.
MSG_CLK_CTY_14	La série de désastres qui a eu lieu il y a quatre cents ans a été provoquée par des évènements survenus récemment !<P>\nEt le responsable de tous ces méfaits s'est enfui deux mille ans dans le passé...
MSG_CLK_CTY_15	Le Démon du Feu ne laisse que misère et désolation derrière lui.
MSG_CLK_CTY_16	Le temps tourne en rond...<P>\nCelui qui est retourné deux mille ans dans le passé est en train de mener le monde aux portes de la destruction.<P>\nEt maintenant, deux mille ans plus tard, il repart dans le passé.<P>\nCe cycle de haine n'a-t-il donc pas de fin ?!
MSG_CLK_CTY_17	Dès que vous aurez restauré l'éclat des quatre Cristaux, revenez ici.<P>\nAlors, tout vous sera expliqué...
MSG_CLK_CTY_18	Une boucle de deux mille ans éternellement reconduite...<P>\nTel est le cycle de naissance et de renaissance de la haine.<P>\nMais tout n'est pas perdu ! Vous, les Guerriers de la Lumière, pouvez encore briser ce cycle !
MSG_CLK_CTY_19	Ravivez la lumière des Cristaux !<P>\nGuerriers de la Lumière, vous seuls en êtes capables !
MSG_CLK_CTY_20	Le pouvoir doit être orienté vers sa fin propre.
MSG_CLK_CTY_21	Le volcan du Mont Gulg se dresse à l'ouest de cette ville.<P>\nLe Démon du Feu s'y est réveillé avec deux cents ans d'avance sur son temps.<P>\nÉliminez-le vite avant qu'il n'emporte notre monde dans les flammes !
MSG_CLK_CTY_22	Le Vent, il y a quatre cents ans... L'Eau, il y a deux cents ans... Puis le Feu et la Terre...<P>\nCe sont les quatre forces qui constituent notre monde...
MSG_CLK_CTY_23	Je suis Lukahn.<P>\nJe vois... un cycle de mort... et une petite lumière... guidée par le destin...<P>\nCe même destin... autour duquel notre réalité entière gravite inlassablement.
MSG_CLK_CTY_24	C'est une tombe.
MSG_GRG_MNT_01	Ceci est le Palais du Feu, la source intarissable des forces des flammes.
MSG_MARILITH_01	C'est vous qui avez vaincu le Démon de la Terre et tiré Malyris de son sommeil...
MSG_MARILITH_02	C'est vous qui avez vaincu les Démons de la Terre et de l'Eau, puis tiré Malyris de son sommeil...
MSG_MARILITH_03	C'est vous qui avez vaincu les Démons du Vent et de la Terre, puis tiré Malyris de son sommeil...
MSG_MARILITH_04	C'est vous qui avez vaincu les Démons de la Terre, du Vent et de l'Eau, puis tiré Malyris de son sommeil...
MSG_MARILITH_05	Je détiens le pouvoir des flammes destructrices !<P>\nTous ceux qui s'opposent à moi brûleront en enfer !
MSG_GET_FLOAT_01	Vous obtenez l'Aérolithe !
MSG_MAP1B_01	Vous obtenez un Vaisseau !
MSG_GET_MOUSE_01	Vous obtenez une Queue de rat !
MSG_TRIAL_CAS_01	Je vois que vous venez avec la Couronne.<P>\nVotre vaillance est indéniable...<P>\nTrès bien, je vais vous laisser passer l'épreuve. Allez-y, asseyez-vous sur le trône.<P>\nC'est de votre courage dont il sera question ici. J'espère pour vous que vous en aurez suffisamment...
MSG_TRIAL_CAS_02	Nul ne peut passer l'épreuve sans autorisation.
MSG_CLASS_CHG_01	Depuis bien longtemps, j'attends que de courageux humains se présentent devant moi.<P>\nVotre bravoure est telle que vous méritez toute mon attention.
MSG_CLASS_CHG_02	La Queue de rat que vous portez est une preuve irréfutable de votre vaillance et de votre force...
MSG_CLASS_CHG_03	Ainsi soit-il... Laissez-moi vous conférer des titres dignes de votre véritable valeur.
MSG_DRG_CAV_01	Je suis Bahamut, le roi des dragons.<P>\nL'honneur est la récompense que j'offre à ceux dont la bravoure force le respect.<P>\nRevenez me voir avec une véritable marque de courage.
MSG_DRG_CAV_02	Restaurez l'éclat des Cristaux...
MSG_DRG_CAV_03	Vous ne me craignez pas... Votre courage est grand, humains.
MSG_DRG_CAV_04	Avez-vous parlé à notre roi, Bahamut ?<P>\nLes vrais braves reçoivent l'honneur suprême du roi des dragons.
MSG_DRG_CAV_05	La tradition veut que chaque dragon parte au nord-est pour explorer la Citadelle de l'épreuve.<P>\nIl doit tenter d'y obtenir une marque indéniable de son courage.
MSG_DRG_CAV_06	La forme que revêt la marque de courage varie avec le temps.<P>\nLes apparences sont parfois trompeuses, vous savez...
MSG_DRG_CAV_07	Jadis, les terres du nord regorgeaient de temples florissants et de châteaux mécaniques.<P>\nMais c'était il y a bien longtemps...
MSG_DRG_CAV_08	Il est rare que des humains osent s'aventurer ici.<P>\nSi vous êtes de vaillants guerriers, vous devriez parler avec Bahamut, notre roi.
MSG_DRG_CAV_09	Les dragons des îles de Gardia sont tout sauf des bêtes sauvages.
MSG_DRG_CAV_10	Autrefois, il y a très longtemps, les hommes et les dragons vivaient paisiblement ensemble.
MSG_DRG_CAV_11	Seuls les plus braves d'entre nous peuvent obtenir une véritable marque de leur courage.
MSG_DRG_CAV_12	Ceci est la chambre de Bahamut, le roi des dragons. Surveillez vos manières.
MSG_DRG_CAV_13	Le regard du roi des dragons plonge au plus profond de nous pour mesurer la sincérité de notre courage.
MSG_OXYALE_01	Vous m'avez libérée de cette odieuse fiole !<P>\nPardonnez-moi d'avoir pris la fuite, mais j'étais terrorisée...<P>\nPour vous remercier, je vais vous offrir de l'Oxygel du fond de la source, d'accord ?
MSG_OXYALE_02	Ce liquide est une source inépuisable d'oxygène !
MSG_OXYALE_03	Vous obtenez de l'Oxygel !
MSG_GAI_CTY_01	L'autre jour, j'ai attrapé une fée et je l'ai vendue à la caravane.<P>\nÇa vous pose un problème ?!
MSG_GAI_CTY_02	Je me souviens d'un érudit qui apprenait la langue de Lufénia, mais son nom ne me revient pas.
MSG_GAI_CTY_03	Une fée habitait notre source, avant, mais cela fait quelque temps que je ne l'ai pas vue.<P>\nJe me demande ce qui a bien pu lui arriver.
MSG_GAI_CTY_04	Mon père adorait me raconter que le château situé à l'ouest d'ici était un lieu mystérieux.<P>\nIl disait qu'une terrible épreuve de courage attendait tous ceux qui voulaient l'explorer.
MSG_GAI_CTY_05	Il paraît qu'un liquide mystérieux jaillit au fond de notre source, mais que seule une fée peut le récupérer.
MSG_GAI_CTY_06	D'après la légende, le peuple du Ciel construisait des châteaux qui planaient au-dessus des nuages...
MSG_GAI_CTY_07	Nul ne peut entrer dans la tour du désert de Yahnikurm.<P>\nCertains prétendent que ce n'est qu'une illusion, d'où son nom : la Tour mirage.<P>\nMais au fond, personne n'en est vraiment sûr...
MSG_GAI_CTY_08	Ce balai essaie toujours d'échapper à ses corvées. Je ne sais plus comment m'y prendre avec lui !
MSG_GAI_CTY_09	Balayer, balayer et encore balayer !
MSG_GAI_CTY_10	Êtes-vous déjà allés à l'Aile de l'aigle ? Je ne comprends pas un traître mot de ce que les gens disent, là-bas.
MSG_GAI_CTY_11	Comment ?! Vous parlez la langue des habitants de l'Aile de l'aigle ?
MSG_GAI_CTY_12	Vous êtes ici à Gaïa. Les étrangers appellent souvent notre ville l'Œil de l'aigle.<P>\nSi vous continuez vers le sud, vous découvrirez une ancienne cité connue sous le nom de l'Aile de l'aigle.
MSG_GAI_CTY_13	Merci de m'avoir sauvée ! Est-ce que l'Oxygel vous a été utile ?<P>\nIl produit de l'oxygène à l'infini, donc n'hésitez pas à rester sous l'eau aussi longtemps que nécessaire.
MSG_GAI_CTY_14	Je n'en reviens pas ! Comment avez-vous fait pour franchir les montagnes ?<P>\nVous avez trouvé un moyen de voler, c'est ça ? Non, c'est impossible... N-n'est-ce pas ?
MSG_GAI_CTY_15	J'ai vu une lumière voler dans le ciel, vers l'ouest. J'en suis sûre !
MSG_SUBMARINE_01	Vous... Vous avez de l'Oxygel !
MSG_SUBMARINE_02	Alors vous devez être ceux que nous attendons depuis si longtemps.
MSG_SUBMARINE_03	Je vous en prie, sauvez les sirènes !
MSG_ORK_CTY_01	Vous avez déjà entendu parler de l'Oxygel ?
MSG_ORK_CTY_02	On raconte qu'un palais s'est enfoncé dans les eaux, il y a deux cents ans.<P>\nAujourd'hui, ce sont des sirènes qui l'habitent. Enfin, c'est ce que dit la légende...
MSG_ORK_CTY_03	Jusqu'à il y a environ deux cents ans, ce village était magnifique...
MSG_ORK_CTY_04	Regardez mes jambes ! Vous ne les trouvez pas superbes ? Je les adore !<P>\nRegardez ! Regardez ! Je viens de les faire bouger !
MSG_ORK_CTY_05	Un des caravaniers, Soucolline, avait quelque chose de très étrange à vendre.
MSG_ORK_CTY_06	Jadis, le peuple du Ciel utilisait une langue appelée le lufénien.<P>\nMon frère, Unne, est fasciné par ce dialecte.<P>\nIl m'a toujours dit qu'il le comprendrait le jour où il mettrait la main sur la Pierre rosetta.
MSG_ORK_CTY_07	Vous avez la Pierre rosetta ?!<P>\nApportez-la vite à mon frère, Unne !
MSG_ORK_CTY_08	Il paraît que le Palais englouti est rempli de richesses inestimables.<P>\nLa légende parle de gemmes, d'or et même de stèles arborant les secrets des langues oubliées.
MSG_ORK_CTY_09	Depuis peu, Koppe raconte une histoire abracadabrante.<P>\nIl prétend avoir aperçu un objet brillant tomber du ciel.
MSG_ORK_CTY_10	Poussez-vous, pauvres... Hic ! Je n'ai pas attrapé... Hic ! ... un seul poisson !<P>\nComment vais-je faire pour... Hic ! ... manger maintenant ?
MSG_ORK_CTY_11	Est-ce que ces jambes sont vraiment à vous ? Et quand je dis vraiment, je veux dire... VRAIMENT ?
MSG_ORK_CTY_12	Il y a deux cents ans, le Palais d'Onlak florissait grâce au pouvoir de l'Eau.<P>\nAlors je vous en prie, aidez-nous à redonner sa splendeur à notre ville !
MSG_ORK_CTY_13	Vous avez restauré le pouvoir secret de l'Eau ! Notre royaume va enfin rayonner à nouveau !
MSG_ORK_CTY_14	Pour essayer de sauver les sirènes, j'ai construit ce sous-marin en me servant d'un tonneau.<P>\nMalheureusement, après quelques minutes sous l'eau, je n'ai plus assez d'oxygène pour respirer.<P>\nDu coup, mon invention est inutile et même dangereuse. Mieux vaut ne pas vous en approcher.
MSG_ORK_CTY_15	Vous êtes des guerriers, n'est-ce pas ? Cela se voit.<P>\nMoi-même, j'en suis un, en pèlerinage vers la Citadelle de l'épreuve.<P>\nJe rêve d'obtenir la reconnaissance du roi des dragons.<P>\nPour cela, il faut que j'obtienne une véritable marque de courage.
MSG_ORK_CTY_16	Je n'arrive pas à le croire ! Vous avez reçu les honneurs du roi des dragons !
MSG_ORK_CTY_17	Mon père est caravanier. En ce moment, il voyage dans le désert qui s'étend à l'est d'ici.<P>\nSa caravane fait souvent escale près de la forêt, au nord du désert.<P>\nJ'ai hâte de le voir rentrer !
MSG_ORK_CTY_18	Bonjour, je m'appelle Koppe.<P>\nComment ? Vous voulez que je vous parle de l'objet brillant que j'ai vu ?<P>\nJe pense qu'il est tombé près de la caverne, au nord.<P>\nPersonne ne me croit, mais je suis sûr qu'il s'agissait d'une sorte de créature mécanique !
MSG_ORK_CTY_19	Vous voulez monter dans le tonneau ?
MSG_ORK_CTY_20	Vous contemplez votre reflet dans l'eau...<P>\nVous pourriez au moins vous rincer le visage !
MSG_ORK_CTY_21	C'est une tombe.
MSG_ORK_CTY_22	C'est un puits. On dirait que l'on peut grimper dedans... mais en fait, non !
MSG_MAP04_01	Vous obtenez la Pierre rosetta !
MSG_KRAKEN_01	Vous m'impressionnez. Je dois reconnaître que je ne m'attendais pas à vous voir ici.
MSG_KRAKEN_02	Mais croyez-vous vraiment pouvoir me battre sur mon propre terrain, moi, le Démon de l'Eau ?!<P>\nImbéciles ! Ces abysses seront votre tombeau !
MSG_SEA_DAN_01	Ceci est le Palais de l'Eau, la source intarissable des forces aquatiques.
MSG_SEA_DAN_02	Enfin, mes prières ont été entendues !
MSG_SEA_DAN_03	Si la lumière de la mer disparaît totalement, nous finirons par nous transformer en écume...
MSG_SEA_DAN_04	Une de nos amies sirènes est partie voir le monde à la surface, mais elle n'est pas revenue.<P>\nJ'espère qu'elle va bien...
MSG_SEA_DAN_05	Vous arrivez à respirer sous l'eau ? Mais... comment ?!
MSG_SEA_DAN_06	Il faut sauver la mer. Rendez son éclat au Cristal de l'Eau !
MSG_SEA_DAN_07	Merci infiniment ! La mer va enfin retrouver toute sa beauté !
MSG_SEA_DAN_08	Si l'éclat de la mer n'est pas rétabli, nous allons nous évaporer comme l'écume sur les vagues...
MSG_SEA_DAN_09	Vos Cristaux... On dirait ceux dont parle la légende... Mais, qui êtes-vous ?
MSG_SEA_DAN_10	Vous êtes ici au sommet du Palais.<P>\nLa tanière du kraken, le Démon de l'Eau, se trouve au rez-de-chaussée.
MSG_SEA_DAN_11	Vous connaissez la Tour mirage, n'est-ce pas ? Elle est dans le désert, sur le continent est...<P>\nEh bien, l'autre jour, j'ai vu quelqu'un entrer dans cette tour !<P>\nD'ailleurs, maintenant que j'y pense, j'ai entendu un joli Carillon sonner précisément à ce moment-là...
MSG_SEA_DAN_12	Tant que le Démon de l'Eau est en vie, l'éclat de la mer ne cesse de s'assombrir.
MSG_SEA_DAN_13	Vous voulez monter dans le tonneau ?
MSG_GET_CHIME_01	Avant de partir, braves guerriers, prenez ce Carillon.<P>\nIl vous ouvrira les portes de la Tour mirage.
MSG_GET_CHIME_02	Vous obtenez le Carillon !
MSG_RFE_CTY_01	Lu... pa... gamhi... dho ?
MSG_RFE_CTY_02	Nous avons une légende qui se passe de génération en génération.<P>\nSelon elle, des Guerriers de Lumière viendront nous sauver quatre cents ans après la chute du peuple du Ciel.
MSG_RFE_CTY_03	Vous êtes les Porteurs de la Lumière. Alors la légende disait vrai !
MSG_RFE_CTY_04	Tous nos espoirs reposaient sur cinq guerriers que nous avons envoyés...<P>\nMalheureusement, les Démons les ont vaincus et transformés en chauves-souris.
MSG_RFE_CTY_05	Le château qui flotte dans le ciel appartenait à nos ancêtres, jadis.<P>\nPour y accéder, il faut passer par la Tour mirage.
MSG_RFE_CTY_06	Nous pensons qu'une entité secrète contrôle les quatre Démons.<P>\nPour la trouver, nous avons envoyé cinq guerriers, mais ils ne sont jamais revenus.<P>\nJ'espère qu'il ne leur est rien arrivé de grave.
MSG_RFE_CTY_07	Notre monde est nourri par quatre forces essentielles : le Feu, la Terre, l'Eau et le Vent.<P>\nNous avons su tirer parti du pouvoir du Vent. C'est ce qui nous a permis de construire un château volant.
MSG_RFE_CTY_08	Il y a quatre cents ans, nous avions établi une civilisation remarquable et même conquis les étoiles...<P>\nMais ce n'est guère plus qu'une vieille histoire, aujourd'hui.
MSG_RFE_CTY_09	Le château volant flotte sur une mer d'étoiles, au-delà du ciel.
MSG_RFE_CTY_10	Le peuple du Ciel transmettait ses souvenirs par l'intermédiaire de rituels.<P>\nCela dit, malgré leurs efforts, tous ces souvenirs ont fini par se perdre après quatre cents ans.
MSG_RFE_CTY_11	Se pourrait-il que les créatures mécaniques créées par nos ancêtres fonctionnent encore aujourd'hui ?
MSG_RFE_CTY_12	Nous sommes les descendants de ceux qui avaient conquis les étoiles, le peuple du Ciel.<P>\nVous voyagez à bord d'un Vaisseau... C'est un de nos ancêtres qui l'a construit, un certain Cid.
MSG_RFE_CTY_13	La Tour mirage est l'emblème de notre peuple.
MSG_RFE_CTY_14	Nous avons livré un combat féroce à Tiamat, le Démon du Vent, mais nos pouvoirs n'ont pas suffi.<P>\nC'est ainsi que le monstre s'est emparé de la Forteresse volante. Il ne l'a pas quittée depuis.
MSG_RFE_CTY_15	Tiamat bloque le pouvoir du Vent, la source d'énergie du peuple du Ciel.
MSG_RFE_CTY_16	Vous contemplez votre reflet dans l'eau...<P>\nVous pourriez au moins vous rincer le visage !
MSG_GET_WARPCUBE_01	... Je voUs aTtendais...<P>\n... prEnez ce RoC... ... TIAmat... ForteResse volAnte... ... s'iL vous pLaît...
MSG_GET_WARPCUBE_02	Bzz ! Bzzzzz !
MSG_GET_WARPCUBE_03	Vous obtenez le Roc stellaire !
MSG_FAL_DAN_01	Kii ! Kii !
MSG_MRG_DAN_01	... maîTre... ! ... nous voUs attenDions...
MSG_MRG_DAN_02	... notre aMi esT pArti... ... vers l'oUest...<P>\n... il a pRis le Roc steLLaire... ... avant d'allEr vOir notRe maîTre...
MSG_MRG_DAN_03	... utiliSez le Roc steLLaire... ... pour voyAger daNs le ciEl...<P>\n... il vous cOnduiRa jusQu'à... ... la FoRteresSe volaNte...
MSG_WND_DAN_01	... anAlyse de TIAmat... ... aucuNe FaiblEsse...
MSG_WND_DAN_02	... de ceTte fEnêtre d'ObservAtion... ... oN peut vOir... ... le mOnde EnTier...
MSG_WND_DAN_03	Ceci est le Palais du Vent, la source intarissable des forces éoliennes.
MSG_WND_DAN_04	Vous obtenez de l'Adamantine !
MSG_LOOK_WINDOW_01	La fenêtre d'observation offre une vue imprenable sur le monde entier.<P>\nLes quatre forces, Feu, Terre, Eau et Vent, semblent converger vers un même point central.<P>\nOn dirait que cet endroit correspond au Temple du chaos !
MSG_TIAMAT_01	Vous avez vaincu la liche et atteint ma tanière reculée.
MSG_TIAMAT_02	La liche, Malyris...<P>\nVous avez vaincu deux Démons et atteint ma tanière reculée.
MSG_TIAMAT_03	La liche, le kraken...<P>\nVous avez vaincu deux Démons et atteint ma tanière reculée.
MSG_TIAMAT_04	La liche, le kraken, Malyris...<P>\nVous avez vaincu trois Démons et atteint ma tanière reculée.
MSG_TIAMAT_05	Tant mieux... Ma victoire n'en sera que plus glorieuse !<P>\nQue l'image de Tiamat, le Démon du Vent, reste gravée à jamais dans vos yeux !
MSG_EPL_01	La boucle temporelle est enfin rompue...
MSG_EPL_02	Le combat sans fin qui faisait rage depuis deux mille ans va pouvoir céder la place à la paix.
MSG_EPL_03	L'éclat des quatre Cristaux a restauré les forces du Vent, de l'Eau, de la Terre et du Feu.
MSG_EPL_04	C'est un simple tour du destin qui avait donné naissance à la haine de Garland.
MSG_EPL_05	Amplifié par les quatre forces de la nature, ce tour du destin avait fini par engendrer les Démons.
MSG_EPL_06	Les monstres s'étaient alors multipliés, entraînant avec eux le monde dans les ténèbres...
MSG_EPL_07	Mais tout cela appartient au passé.
MSG_EPL_08	Maintenant que les quatre forces ont repris leurs droits, les Guerriers se préparent à rentrer dans leur monde...
MSG_EPL_09	Celui de la princesse Sarah, de la reine Jeanne... mais aussi de Garland.
MSG_EPL_10	Quand, au juste, le temps s'était-il plié jusqu'à former une véritable boucle temporelle ?
MSG_EPL_11	Nul ne le sait.
MSG_EPL_12	Ce cycle aurait très bien pu continuer éternellement, mais c'était compter sans la bravoure de quatre jeunes gens.
MSG_EPL_13	Nul ne se souviendra du périple de ces quatre héros, car, en brisant la boucle temporelle, ils l'avaient effacé définitivement de l'Histoire.
MSG_EPL_14	Toutefois, le souvenir de leurs exploits perdurera dans les contes et légendes...
MSG_EPL_15	Des contes de nains et d'elfes, de dragons et de civilisations rayonnantes atteignant les cieux jusque dans leur chute.
MSG_EPL_16	Leur retour est proche, maintenant.
MSG_EPL_17	Forts des souvenirs de leur voyage, les quatre aventuriers continueront à veiller sur notre terre.
MSG_EPL_18	N'oubliez jamais que les forces du monde doivent être utilisées à bon escient, que le pouvoir de la lumière doit se garder de l'appel des ténèbres et que les vrais Cristaux résident dans votre cœur.
MSG_EPL_19	Car c'est vous qui avez franchi les Portes du Temps.
MSG_EPL_20	La lumière est entre vos mains...
MSG_EPL_21	
MSG_EPL_22	
MSG_EPL_23	
MSG_EPL_24	
MSG_EPL_25	
MSG_EPL_26	
MSG_EPL_27	
MSG_EPL_28	
MSG_EPL_29	
MSG_EPL_30	
MSG_MAP0A01_01	Bienvenue ! Voulez-vous une chambre ? C'est (KINGAKU) gils la nuit.
MSG_MAP0A01_02	Au plaisir de vous revoir !
MSG_MAP0A01_03	Bonne nuit !
MSG_MAP0A01_04	Malheureusement, vous n'avez pas assez d'argent.
MSG_MAP0A01_05	Vous qui avez péri au combat, je vous rends la vie !
MSG_MAP0A01_06	Cela vous coûtera (KINGAKU) gils pour ressusciter (SITAI). Est-ce que cela vous convient ?
MSG_MAP0A01_07	Qui voulez-vous ressusciter ?
MSG_MAP0A01_08	Aucun d'entre vous n'a besoin de mes services. Courage, braves guerriers !
MSG_MAP0A01_09	Voulez-vous ressusciter (SITAI) ?
MSG_OTHER_11	Butin : (ITEM_N).
MSG_OTHER_12	Butin : (NUM) gils.
MSG_OTHER_13	Vous ne pouvez pas en transporter davantage.
MSG_OTHER_14	Le coffre est vide.
MSG_OTHER_18	Le coffre était piégé !
MSG_OTHER_52	Voulez-vous sortir ?
THANKS_TO_EVERYONE	Nous adressons nos plus profonds remerciements à tous\nnos fans à travers le monde, tant ceux d'hier que ceux\nd'aujourd'hui, ainsi qu'aux équipes dévouées qui ont\ncontribué à façonner la version originale des jeux.

